"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.144",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-Inception3.csv 1",,,,"Date:","01 Oct 2019 13:57:31 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:57:31,0.217,0.214,99.412,0.084,0.0,0.073,4730880.0,1017626624.0,998.715,9974.041,1750040576.0,313020416.0,2752917504.0,1410093056.0,0.043,0.419,0.000,0.0,0.206,3.290,4.130,3.660,
01-10 13:57:32,19.167,33.333,22.500,10.833,0.0,14.167,4730880.0,1017626624.0,1372160.0,8192.0,1767133184.0,313020416.0,2754469888.0,1391448064.0,29.0,1.0,1.0,1.0,20.0,3.290,4.130,3.660,
01-10 13:57:33,47.462,6.345,18.528,18.020,0.0,9.645,4730880.0,1017626624.0,2854912.0,0.0,1772085248.0,313020416.0,2757197824.0,1383768064.0,86.0,0.0,4.0,1.0,2.0,3.290,4.130,3.660,
01-10 13:57:34,44.643,25.510,6.378,11.480,0.0,11.990,4730880.0,1017626624.0,2482176.0,0.0,1770745856.0,313020416.0,2759696384.0,1382608896.0,75.0,0.0,5.0,1.0,0.0,3.290,4.130,3.660,
01-10 13:57:35,41.013,25.570,20.759,2.278,0.0,10.380,4730880.0,1017626624.0,708608.0,102400.0,1789153280.0,313020416.0,2760392704.0,1363505152.0,14.0,2.0,3.0,0.0,20.0,3.270,4.110,3.650,
01-10 13:57:36,65.829,19.849,3.015,0.0,0.0,11.307,4730880.0,1017626624.0,53248.0,0.0,1829076992.0,313020416.0,2760445952.0,1323528192.0,2.0,0.0,4.0,0.0,5.0,3.270,4.110,3.650,
01-10 13:57:37,36.943,42.994,3.822,3.185,0.0,13.057,4730880.0,1017626624.0,73728.0,0.0,1913499648.0,313024512.0,2760519680.0,1239027712.0,5.0,0.0,10.0,0.0,13.0,3.270,4.110,3.650,
01-10 13:57:38,13.333,70.476,0.952,0.0,0.0,15.238,4730880.0,1017626624.0,0.0,0.0,1987489792.0,313024512.0,2760519680.0,1165037568.0,0.0,0.0,7.0,0.0,0.0,3.270,4.110,3.650,
01-10 13:57:39,1.370,79.452,0.0,0.0,0.0,19.178,4730880.0,1017626624.0,0.0,0.0,1992314880.0,313024512.0,2760519680.0,1160212480.0,0.0,0.0,9.0,0.0,0.0,3.570,4.160,3.670,
01-10 13:57:40,7.143,69.048,0.0,0.0,0.0,23.810,4730880.0,1017626624.0,0.0,0.0,1993973760.0,313024512.0,2760523776.0,1158549504.0,0.0,0.0,6.0,0.0,0.0,3.570,4.160,3.670,
01-10 13:57:41,41.989,51.934,0.552,0.0,0.0,5.525,4730880.0,1017626624.0,0.0,49152.0,2182971392.0,313024512.0,2760527872.0,969547776.0,0.0,2.0,8.0,0.0,6.0,3.570,4.160,3.670,
