"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.141",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-alexnet.csv 1",,,,"Date:","01 Oct 2019 13:34:26 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:34:26,0.163,0.208,99.466,0.093,0.0,0.070,3158016.0,1019199488.0,959.628,10769.093,893313024.0,281554944.0,2629206016.0,2422001664.0,0.041,0.514,0.0,0.0,0.289,1.220,1.220,0.960,
01-10 13:34:27,3.053,9.160,83.715,0.0,0.0,4.071,3158016.0,1019199488.0,0.0,118784.0,922324992.0,281554944.0,2629214208.0,2392981504.0,0.0,2.0,3.0,0.0,2.0,1.220,1.220,0.960,
01-10 13:34:28,27.346,34.316,23.324,1.609,0.0,13.405,3158016.0,1019199488.0,0.0,0.0,920977408.0,281554944.0,2629242880.0,2394300416.0,0.0,0.0,7.0,0.0,37.0,1.220,1.220,0.960,
01-10 13:34:29,26.884,21.357,45.477,0.0,0.0,6.281,3158016.0,1019199488.0,0.0,0.0,1007071232.0,281554944.0,2629242880.0,2308206592.0,0.0,0.0,1.0,0.0,14.0,1.220,1.220,0.960,
01-10 13:34:30,11.278,9.524,77.945,0.0,0.0,1.253,3158016.0,1019199488.0,0.0,0.0,1029140480.0,281554944.0,2629242880.0,2286137344.0,0.0,0.0,0.0,0.0,7.0,1.220,1.220,0.960,
01-10 13:34:31,0.0,0.508,98.477,0.0,0.0,1.015,3158016.0,1019199488.0,0.0,0.0,1030176768.0,281554944.0,2629242880.0,2285101056.0,0.0,0.0,0.0,0.0,2.0,1.120,1.200,0.950,
01-10 13:34:32,0.254,0.0,98.731,0.0,0.0,1.015,3158016.0,1019199488.0,0.0,114688.0,1028964352.0,281554944.0,2629242880.0,2286313472.0,0.0,22.0,0.0,0.0,0.0,1.120,1.200,0.950,
01-10 13:34:33,0.252,0.252,98.741,0.0,0.0,0.756,3158016.0,1019199488.0,0.0,1024000.0,1029259264.0,281554944.0,2629242880.0,2286018560.0,0.0,3.0,0.0,0.0,0.0,1.120,1.200,0.950,
01-10 13:34:34,0.0,0.0,98.992,0.0,0.0,1.008,3158016.0,1019199488.0,0.0,0.0,1027981312.0,281554944.0,2629242880.0,2287296512.0,0.0,0.0,0.0,0.0,0.0,1.120,1.200,0.950,
01-10 13:34:35,0.0,0.0,98.990,0.0,0.0,1.010,3158016.0,1019199488.0,0.0,0.0,1027588096.0,281554944.0,2629242880.0,2287689728.0,0.0,0.0,0.0,0.0,0.0,1.120,1.200,0.950,
01-10 13:34:36,0.0,0.251,97.739,0.0,0.0,2.010,3158016.0,1019199488.0,0.0,0.0,1026670592.0,281554944.0,2629242880.0,2288607232.0,0.0,0.0,0.0,0.0,0.0,1.030,1.180,0.950,
01-10 13:34:37,0.771,5.398,91.517,0.0,0.0,2.314,3158016.0,1019199488.0,0.0,0.0,966148096.0,281554944.0,2629238784.0,2349133824.0,0.0,0.0,1.0,0.0,1.0,1.030,1.180,0.950,
01-10 13:34:38,4.569,16.244,74.619,3.046,0.0,1.523,3158016.0,1019199488.0,0.0,20480.0,958312448.0,281554944.0,2629242880.0,2356965376.0,0.0,2.0,0.0,0.0,1.0,1.030,1.180,0.950,
01-10 13:34:39,4.040,9.596,86.111,0.0,0.0,0.253,3158016.0,1019199488.0,0.0,0.0,960278528.0,281554944.0,2629242880.0,2354999296.0,0.0,0.0,1.0,0.0,0.0,1.030,1.180,0.950,
01-10 13:34:40,0.504,3.275,96.222,0.0,0.0,0.0,3158016.0,1019199488.0,0.0,0.0,958316544.0,281554944.0,2629246976.0,2356957184.0,0.0,0.0,0.0,0.0,0.0,1.030,1.180,0.950,
01-10 13:34:41,1.508,3.769,94.724,0.0,0.0,0.0,3158016.0,1019199488.0,0.0,0.0,958857216.0,281554944.0,2629246976.0,2356416512.0,0.0,0.0,0.0,0.0,0.0,0.950,1.160,0.940,
