"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.140",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-resnet.csv 1",,,,"Date:","01 Oct 2019 14:16:43 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 14:16:43,0.322,0.343,99.160,0.100,0.0,0.074,246435840.0,775921664.0,2043.647,26434.249,512270336.0,76718080.0,336953344.0,5300133888.0,0.138,2.638,0.0,0.0,0.490,0.010,0.020,0.0,
01-10 14:16:44,1.010,0.253,98.737,0.0,0.0,0.0,246435840.0,775921664.0,0.0,32768.0,512724992.0,76718080.0,336957440.0,5299675136.0,0.0,8.0,0.0,0.0,2.0,0.010,0.020,0.0,
01-10 14:16:45,8.333,13.384,78.283,0.0,0.0,0.0,246435840.0,775921664.0,0.0,36864.0,534794240.0,76726272.0,336957440.0,5277597696.0,0.0,2.0,2.0,0.0,19.0,0.010,0.020,0.0,
01-10 14:16:47,14.807,10.944,74.034,0.0,0.0,0.215,246435840.0,775921664.0,0.0,0.0,557588480.0,76726272.0,336961536.0,5254799360.0,0.0,0.0,2.0,0.0,8.0,0.010,0.020,0.0,
01-10 14:16:47,22.078,5.195,72.727,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,562032640.0,76726272.0,336957440.0,5250359296.0,0.0,0.0,1.0,0.0,13.0,0.010,0.020,0.0,
01-10 14:16:48,18.750,14.750,65.500,1.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588206080.0,76726272.0,336957440.0,5224185856.0,0.0,0.0,0.0,1.0,6.0,0.010,0.020,0.0,
01-10 14:16:49,0.0,0.0,97.481,2.519,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588238848.0,76726272.0,336957440.0,5224153088.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:50,0.0,0.754,99.246,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588365824.0,76726272.0,336957440.0,5224026112.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:51,0.0,0.0,99.750,0.250,0.0,0.0,246435840.0,775921664.0,0.0,40960.0,588357632.0,76734464.0,336957440.0,5224026112.0,0.0,2.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:52,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588357632.0,76734464.0,336957440.0,5224026112.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:53,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588357632.0,76734464.0,336957440.0,5224026112.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:54,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588357632.0,76734464.0,336957440.0,5224026112.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:55,0.251,0.503,99.246,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588992512.0,76734464.0,336957440.0,5223391232.0,0.0,0.0,0.0,0.0,2.0,0.010,0.020,0.0,
01-10 14:16:56,0.0,0.250,99.500,0.0,0.0,0.250,246435840.0,775921664.0,0.0,0.0,588992512.0,76734464.0,336957440.0,5223391232.0,0.0,0.0,0.0,0.0,1.0,0.010,0.020,0.0,
01-10 14:16:57,0.250,0.250,98.250,1.250,0.0,0.0,246435840.0,775921664.0,0.0,12288.0,589017088.0,76742656.0,336957440.0,5223358464.0,0.0,2.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:58,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589017088.0,76742656.0,336957440.0,5223358464.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:16:59,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589017088.0,76742656.0,336957440.0,5223358464.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:00,0.0,0.252,99.748,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,588902400.0,76742656.0,336957440.0,5223473152.0,0.0,0.0,0.0,0.0,1.0,0.010,0.020,0.0,
01-10 14:17:01,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589045760.0,76742656.0,336957440.0,5223329792.0,0.0,0.0,2.0,0.0,1.0,0.010,0.020,0.0,
01-10 14:17:02,0.255,9.439,90.306,0.0,0.0,0.0,246435840.0,775921664.0,0.0,843776.0,590094336.0,76742656.0,336961536.0,5222277120.0,0.0,1.0,0.0,0.0,11.0,0.010,0.020,0.0,
01-10 14:17:03,0.251,0.251,99.497,0.0,0.0,0.0,246435840.0,775921664.0,0.0,598016.0,590209024.0,76750848.0,336957440.0,5222158336.0,0.0,3.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:04,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,590209024.0,76750848.0,336957440.0,5222158336.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:05,0.0,0.503,99.497,0.0,0.0,0.0,246435840.0,775921664.0,0.0,4096.0,590995456.0,76750848.0,336961536.0,5221367808.0,0.0,1.0,0.0,0.0,2.0,0.010,0.020,0.0,
01-10 14:17:06,0.251,0.0,99.749,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,590995456.0,76750848.0,336961536.0,5221367808.0,0.0,0.0,2.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:07,0.251,0.251,99.499,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,591122432.0,76750848.0,336961536.0,5221240832.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:08,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,591122432.0,76750848.0,336961536.0,5221240832.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:09,0.0,0.251,99.749,0.0,0.0,0.0,246435840.0,775921664.0,0.0,28672.0,589828096.0,76759040.0,336961536.0,5222526976.0,0.0,2.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:10,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,8192.0,589828096.0,76759040.0,336961536.0,5222526976.0,0.0,2.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:11,0.0,0.250,99.750,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589828096.0,76759040.0,336961536.0,5222526976.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:12,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589828096.0,76759040.0,336961536.0,5222526976.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:13,0.0,0.250,99.500,0.250,0.0,0.0,246435840.0,775921664.0,0.0,0.0,589828096.0,76759040.0,336961536.0,5222526976.0,0.0,0.0,0.0,0.0,0.0,0.010,0.020,0.0,
01-10 14:17:14,0.250,0.250,99.500,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,590729216.0,76759040.0,336961536.0,5221625856.0,0.0,0.0,0.0,0.0,1.0,0.010,0.020,0.0,
01-10 14:17:15,0.251,0.0,99.749,0.0,0.0,0.0,246435840.0,775921664.0,0.0,634880.0,590872576.0,76767232.0,336961536.0,5221474304.0,0.0,27.0,0.0,0.0,1.0,0.0,0.020,0.0,
01-10 14:17:16,0.0,0.251,99.749,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,591253504.0,76767232.0,336961536.0,5221093376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.0,
01-10 14:17:17,0.0,0.0,100.0,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,591253504.0,76767232.0,336961536.0,5221093376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020,0.0,
01-10 14:17:18,0.0,0.251,99.749,0.0,0.0,0.0,246435840.0,775921664.0,0.0,0.0,591380480.0,76767232.0,336961536.0,5220966400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.020,0.0,
