"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.143",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-cifar10.csv 1",,,,"Date:","30 Sep 2019 13:44:29 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
30-09 13:44:35,0.164,0.197,99.487,0.093,0.0,0.059,3899392.0,1018458112.0,1397.339,10730.920,640184320.0,325652480.0,2669854720.0,2590384128.0,0.082,0.476,0.0,0.0,0.291,0.310,0.350,0.660,
30-09 13:44:36,0.262,0.0,99.738,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,640184320.0,325652480.0,2669854720.0,2590384128.0,0.0,0.0,0.0,0.0,0.0,0.310,0.350,0.660,
30-09 13:44:37,13.418,36.203,50.380,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1140617216.0,325652480.0,2669867008.0,2089938944.0,0.0,0.0,5.0,0.0,13.0,0.310,0.350,0.660,
30-09 13:44:38,41.750,24.0,34.0,0.0,0.0,0.250,3899392.0,1018458112.0,0.0,0.0,1474945024.0,325652480.0,2669867008.0,1755611136.0,0.0,0.0,3.0,0.0,1.0,0.440,0.380,0.670,
30-09 13:44:39,43.085,3.723,53.191,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1493356544.0,325652480.0,2669867008.0,1737199616.0,0.0,0.0,3.0,0.0,0.0,0.440,0.380,0.670,
30-09 13:44:40,11.028,5.013,83.960,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531576320.0,325652480.0,2669867008.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.440,0.380,0.670,
30-09 13:44:41,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,12288.0,1531576320.0,325652480.0,2669867008.0,1698979840.0,0.0,2.0,0.0,0.0,0.0,0.440,0.380,0.670,
30-09 13:44:42,0.0,0.250,99.750,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531576320.0,325652480.0,2669867008.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.440,0.380,0.670,
30-09 13:44:43,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531576320.0,325652480.0,2669867008.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.410,0.370,0.660,
30-09 13:44:44,0.0,0.251,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.410,0.370,0.660,
30-09 13:44:45,0.0,0.251,99.246,0.503,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.410,0.370,0.660,
30-09 13:44:46,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.410,0.370,0.660,
30-09 13:44:47,0.251,0.0,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,12288.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,2.0,0.0,0.0,0.0,0.410,0.370,0.660,
30-09 13:44:48,0.0,0.251,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.370,0.360,0.660,
30-09 13:44:49,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531572224.0,325652480.0,2669871104.0,1698979840.0,0.0,0.0,0.0,0.0,0.0,0.370,0.360,0.660,
30-09 13:44:50,0.0,0.251,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531834368.0,325652480.0,2669871104.0,1698717696.0,0.0,0.0,0.0,0.0,1.0,0.370,0.360,0.660,
30-09 13:44:51,0.0,0.251,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,0.0,0.0,0.0,0.0,0.370,0.360,0.660,
30-09 13:44:52,0.0,0.0,99.750,0.250,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,0.0,0.0,0.0,0.0,0.370,0.360,0.660,
30-09 13:44:53,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,0.0,0.0,0.0,0.0,0.340,0.360,0.660,
30-09 13:44:54,0.0,0.251,99.749,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,12288.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,2.0,0.0,0.0,0.0,0.340,0.360,0.660,
30-09 13:44:55,0.0,0.0,100.0,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,0.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,0.0,0.0,0.0,0.0,0.340,0.360,0.660,
30-09 13:44:56,0.0,0.250,99.750,0.0,0.0,0.0,3899392.0,1018458112.0,0.0,8192.0,1531826176.0,325652480.0,2669871104.0,1698725888.0,0.0,2.0,0.0,0.0,0.0,0.340,0.360,0.660,
