"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","129.10.58.140",,,,"User:","labuser"
"Cmdline:","dstat -tcsdmrpl --output /home/labuser/trace/MXNET-vgg16.csv 1",,,,"Date:","01 Oct 2019 13:06:53 PDT"

"system","total cpu usage",,,,,,"swap",,"dsk/total",,"memory usage",,,,"io/total",,"procs",,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","free","read","writ","used","buff","cach","free","read","writ","run","blk","new","1m","5m","15m"
01-10 13:06:53,0.322,0.343,99.161,0.099,0.0,0.075,283226112.0,739131392.0,1951.796,26472.581,342102016.0,64184320.0,160292864.0,5659496448.0,0.134,2.642,0.0,0.0,0.490,0.130,0.030,0.010,
01-10 13:06:54,0.754,0.754,98.492,0.0,0.0,0.0,283226112.0,739131392.0,0.0,0.0,341950464.0,64184320.0,160350208.0,5659590656.0,0.0,0.0,0.0,0.0,3.0,0.130,0.030,0.010,
01-10 13:06:55,10.526,11.779,51.880,25.815,0.0,0.0,283226112.0,739131392.0,1269760.0,0.0,369799168.0,64729088.0,161206272.0,5630341120.0,158.0,0.0,0.0,1.0,20.0,0.130,0.030,0.010,
01-10 13:06:56,0.0,0.754,76.382,22.864,0.0,0.0,283226112.0,739131392.0,6422528.0,0.0,370466816.0,65138688.0,166957056.0,5623513088.0,207.0,0.0,0.0,1.0,0.0,0.200,0.050,0.010,
01-10 13:06:57,1.0,2.250,84.250,12.500,0.0,0.0,283226112.0,739131392.0,15106048.0,0.0,373211136.0,65138688.0,182456320.0,5605269504.0,227.0,0.0,0.0,1.0,1.0,0.200,0.050,0.010,
01-10 13:06:58,4.051,8.354,67.595,20.0,0.0,0.0,283201536.0,739155968.0,24649728.0,0.0,376246272.0,65142784.0,206843904.0,5577842688.0,223.0,0.0,0.0,1.0,4.0,0.200,0.050,0.010,
01-10 13:06:59,6.599,3.046,71.827,18.274,0.0,0.254,283201536.0,739155968.0,20860928.0,319488.0,381317120.0,66088960.0,226705408.0,5551964160.0,438.0,2.0,0.0,1.0,2.0,0.200,0.050,0.010,
01-10 13:07:00,6.297,3.778,75.063,14.861,0.0,0.0,283201536.0,739155968.0,8392704.0,0.0,387338240.0,66605056.0,234672128.0,5537460224.0,260.0,0.0,0.0,1.0,0.0,0.200,0.050,0.010,
01-10 13:07:01,1.763,2.519,75.063,20.655,0.0,0.0,283201536.0,739155968.0,2428928.0,0.0,392073216.0,66637824.0,236929024.0,5530435584.0,90.0,0.0,1.0,0.0,13.0,0.260,0.060,0.020,
01-10 13:07:02,13.065,2.513,76.131,8.291,0.0,0.0,283201536.0,739155968.0,499712.0,0.0,395616256.0,66662400.0,237457408.0,5526339584.0,27.0,0.0,0.0,1.0,0.0,0.260,0.060,0.020,
01-10 13:07:03,3.759,8.020,69.173,19.048,0.0,0.0,283201536.0,739155968.0,5664768.0,0.0,397848576.0,66826240.0,243159040.0,5518241792.0,107.0,0.0,0.0,1.0,3.0,0.260,0.060,0.020,
01-10 13:07:04,0.251,1.759,78.141,19.598,0.0,0.251,283201536.0,739155968.0,5332992.0,0.0,399806464.0,67153920.0,247930880.0,5511184384.0,169.0,0.0,0.0,1.0,0.0,0.260,0.060,0.020,
01-10 13:07:05,0.251,2.005,79.950,17.794,0.0,0.0,283201536.0,739155968.0,3637248.0,36864.0,401133568.0,67661824.0,251154432.0,5506125824.0,190.0,2.0,0.0,1.0,0.0,0.260,0.060,0.020,
01-10 13:07:06,0.504,2.267,75.063,22.166,0.0,0.0,283201536.0,739155968.0,3330048.0,0.0,403156992.0,68079616.0,254152704.0,5500686336.0,165.0,0.0,0.0,1.0,0.0,0.320,0.080,0.020,
01-10 13:07:07,0.748,2.244,74.314,22.444,0.0,0.249,283201536.0,739155968.0,4915200.0,0.0,406368256.0,68182016.0,258912256.0,5492613120.0,95.0,0.0,0.0,1.0,0.0,0.320,0.080,0.020,
01-10 13:07:08,4.293,2.273,75.0,18.434,0.0,0.0,283201536.0,739155968.0,2035712.0,0.0,410402816.0,68542464.0,260591616.0,5486538752.0,124.0,0.0,0.0,1.0,0.0,0.320,0.080,0.020,
01-10 13:07:09,1.0,2.500,74.500,21.750,0.0,0.250,283201536.0,739155968.0,942080.0,0.0,414474240.0,68583424.0,261468160.0,5481549824.0,87.0,0.0,1.0,0.0,0.0,0.320,0.080,0.020,
01-10 13:07:10,1.763,2.519,77.078,18.640,0.0,0.0,283201536.0,739155968.0,1589248.0,0.0,419332096.0,68702208.0,262942720.0,5475098624.0,108.0,0.0,0.0,0.0,3.0,0.320,0.080,0.020,
01-10 13:07:11,0.0,0.503,99.497,0.0,0.0,0.0,283201536.0,739155968.0,0.0,20480.0,419450880.0,68710400.0,262942720.0,5474971648.0,0.0,2.0,0.0,0.0,0.0,0.300,0.080,0.020,
01-10 13:07:12,0.0,0.252,99.748,0.0,0.0,0.0,283201536.0,739155968.0,0.0,0.0,419848192.0,68710400.0,262942720.0,5474574336.0,0.0,0.0,0.0,0.0,1.0,0.300,0.080,0.020,
01-10 13:07:13,0.0,0.0,100.0,0.0,0.0,0.0,283201536.0,739155968.0,0.0,0.0,419848192.0,68710400.0,262942720.0,5474574336.0,0.0,0.0,0.0,0.0,0.0,0.300,0.080,0.020,
01-10 13:07:14,0.0,0.0,99.749,0.251,0.0,0.0,283201536.0,739155968.0,0.0,0.0,419844096.0,68710400.0,262946816.0,5474574336.0,0.0,0.0,0.0,0.0,0.0,0.300,0.080,0.020,
01-10 13:07:15,0.0,0.252,99.748,0.0,0.0,0.0,283201536.0,739155968.0,0.0,0.0,419844096.0,68710400.0,262946816.0,5474574336.0,0.0,0.0,0.0,0.0,0.0,0.300,0.080,0.020,
